px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
96.316	19.2544	0.898888	-0.519343	-0.192997	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.792013
97.4598	18.7368	1.50446	-0.318799	0.0763584	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.3396e-314
97.4223	18.7268	1.30339	-0.445165	-0.0487714	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.556903
98.2352	18.3601	1.00793	-0.388519	0.00705432	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	2.3396e-314
98.2519	18.3651	0.973181	-0.389851	-0.00588752	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.22794
99.0351	17.4072	1.28196	-1.1618	-0.504139	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	2.3396e-314
99.0565	17.4779	1.35679	-0.832172	-0.11964	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.69129
99.9821	16.9557	1.07124	-0.500849	0.191903	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	2.3396e-314
100.059	16.9718	1.07678	-0.436538	0.231575	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.86638
101.177	16.5429	1.36833	-0.216454	0.225189	101.204	16.5368	101.065	16.497	0.991362	-0.513687	2.3396e-314
101.147	16.5371	1.17072	-0.276354	0.14702	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.415372
102.36	16.3931	1.40725	0.0459254	0.263478	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	2.3396e-314
102.271	16.3834	1.13562	0.00153634	0.22106	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.59821
103.042	15.4252	0.734552	-1.0609	-0.598973	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.3396e-314
103.012	15.5143	0.973019	-0.730812	-0.181154	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	5.13754
104.059	15.236	1.05761	-0.0596955	0.392078	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	2.3396e-314
104.033	15.2181	1.1717	-0.0870269	0.374731	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.648315
105.492	14.4851	1.66948	-0.779296	-0.303364	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	2.3396e-314
105.455	14.5038	1.69133	-0.696752	-0.194374	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.701507
106.813	14.0178	1.42906	-0.277852	0.233252	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	2.3396e-314
106.764	14.0024	1.49127	-0.306198	0.219331	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.19151
108.081	13.6627	1.5269	-0.125112	0.192509	108.084	13.6604	108.122	13.644	1.47592	-0.423202	2.3396e-314
108.094	13.6644	1.568	-0.117314	0.202145	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0344165
109.529	13.5726	1.62653	0.0493301	0.178653	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	2.3396e-314
109.488	13.5669	1.53201	0.0410889	0.170034	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.372721
111.055	12.6287	1.58641	-0.869076	-0.565567	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	2.3396e-314
111.151	12.7194	1.93641	-0.617081	-0.210593	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	3.59427
